Vardas         Pavarde         ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	Egz.
Vardas1        Pavarde1        9	10	8	3	3	4	3	2	8	5	
Vardas2        Pavarde2        1	9	4	6	1	2	1	2	10	9	
Vardas3        Pavarde3        4	4	5	7	7	8	2	6	9	3	
Vardas4        Pavarde4        3	5	7	6	9	7	5	3	5	10	
Vardas5        Pavarde5        7	8	6	8	7	8	7	10	4	3	
Vardas6        Pavarde6        2	1	6	5	1	9	9	6	7	10	
Vardas7        Pavarde7        1	9	3	8	8	10	5	2	6	10	
Vardas8        Pavarde8        3	2	4	2	3	5	8	6	1	7	
Vardas9        Pavarde9        6	6	6	10	9	3	4	7	3	10	
Vardas10       Pavarde10       1	7	4	6	10	4	10	10	9	5	
Vardas11       Pavarde11       6	10	8	9	4	4	10	6	1	4	
Vardas12       Pavarde12       10	7	7	7	6	8	5	6	3	4	
Vardas13       Pavarde13       2	10	7	8	7	4	8	5	4	6	
Vardas14       Pavarde14       9	5	8	3	6	7	2	9	2	7	
Vardas15       Pavarde15       5	6	5	8	8	6	7	5	2	3	
Vardas16       Pavarde16       4	5	9	8	3	7	8	7	4	6	
Vardas17       Pavarde17       8	10	5	2	10	2	10	6	2	6	
Vardas18       Pavarde18       10	5	9	5	2	1	7	10	3	8	
Vardas19       Pavarde19       7	5	1	8	8	4	1	9	6	9	
Vardas20       Pavarde20       9	10	4	7	1	4	1	5	9	10	
Vardas21       Pavarde21       7	7	3	10	5	2	2	4	6	5	
Vardas22       Pavarde22       7	3	1	9	9	6	3	5	8	5	
Vardas23       Pavarde23       4	6	2	3	1	10	7	7	3	3	
Vardas24       Pavarde24       2	1	10	9	2	7	5	6	1	7	
Vardas25       Pavarde25       2	7	4	3	9	1	5	9	2	2	
Vardas26       Pavarde26       7	8	10	1	6	4	3	5	6	8	
Vardas27       Pavarde27       2	10	8	2	7	8	5	4	9	9	
Vardas28       Pavarde28       5	8	8	2	8	2	4	10	3	10	
Vardas29       Pavarde29       6	6	6	6	3	9	1	6	6	4	
Vardas30       Pavarde30       9	2	2	10	5	9	4	10	5	4	
Vardas31       Pavarde31       4	7	3	2	4	8	4	8	6	7	
Vardas32       Pavarde32       2	9	7	9	6	10	9	1	1	10	
Vardas33       Pavarde33       5	3	10	8	6	10	2	5	5	6	
Vardas34       Pavarde34       8	9	10	3	6	1	7	5	8	1	
Vardas35       Pavarde35       2	9	5	9	8	4	5	10	2	6	
Vardas36       Pavarde36       8	5	4	8	9	4	9	4	4	10	
Vardas37       Pavarde37       8	4	10	10	3	1	4	9	10	7	
Vardas38       Pavarde38       7	7	4	1	1	6	7	8	9	10	
Vardas39       Pavarde39       7	10	7	10	3	10	8	2	1	4	
Vardas40       Pavarde40       6	6	4	9	4	1	10	10	8	3	
Vardas41       Pavarde41       10	8	1	8	9	8	10	1	10	8	
Vardas42       Pavarde42       9	8	1	1	4	10	8	6	4	8	
Vardas43       Pavarde43       1	4	7	4	6	6	4	2	4	4	
Vardas44       Pavarde44       9	5	1	2	8	3	9	7	8	8	
Vardas45       Pavarde45       8	9	10	2	3	3	7	10	2	10	
Vardas46       Pavarde46       6	5	6	10	8	1	5	5	9	5	
Vardas47       Pavarde47       7	10	7	6	9	4	7	1	7	2	
Vardas48       Pavarde48       4	1	7	6	3	9	10	6	8	9	
Vardas49       Pavarde49       3	9	1	3	4	10	10	8	9	3	
Vardas50       Pavarde50       9	2	10	1	5	7	1	1	7	1	
Vardas51       Pavarde51       3	9	10	6	9	1	2	2	6	5	
Vardas52       Pavarde52       8	7	10	8	2	1	3	1	9	4	
Vardas53       Pavarde53       6	5	8	8	3	3	5	8	7	5	
Vardas54       Pavarde54       5	3	3	10	2	3	10	2	3	5	
Vardas55       Pavarde55       9	10	7	6	6	6	5	8	4	5	
Vardas56       Pavarde56       3	1	6	3	6	9	6	9	5	6	
Vardas57       Pavarde57       2	8	3	3	8	1	6	2	8	5	
Vardas58       Pavarde58       1	7	7	3	9	8	2	2	4	7	
Vardas59       Pavarde59       2	3	1	1	5	5	5	2	6	5	
Vardas60       Pavarde60       1	4	5	1	9	6	3	7	9	2	
Vardas61       Pavarde61       5	7	9	4	3	2	2	7	5	8	
Vardas62       Pavarde62       9	1	6	5	9	2	1	10	1	7	
Vardas63       Pavarde63       8	8	4	10	9	5	5	8	3	5	
Vardas64       Pavarde64       1	2	3	4	1	9	4	4	10	8	
Vardas65       Pavarde65       2	9	9	8	1	8	5	7	10	5	
Vardas66       Pavarde66       3	2	8	5	4	10	6	10	9	4	
Vardas67       Pavarde67       6	5	9	9	5	9	3	3	3	2	
Vardas68       Pavarde68       4	2	5	6	4	7	1	1	5	3	
Vardas69       Pavarde69       2	3	10	4	7	6	2	6	1	9	
Vardas70       Pavarde70       10	8	9	10	2	3	2	9	10	9	
Vardas71       Pavarde71       7	5	3	3	1	7	2	4	9	6	
Vardas72       Pavarde72       9	10	5	7	5	2	5	8	3	3	
Vardas73       Pavarde73       7	7	4	6	2	2	7	9	9	10	
Vardas74       Pavarde74       1	7	8	8	5	9	3	8	1	4	
Vardas75       Pavarde75       2	6	9	8	6	6	8	1	8	10	
Vardas76       Pavarde76       10	10	6	6	2	10	1	10	2	1	
Vardas77       Pavarde77       2	6	1	1	4	4	9	3	9	4	
Vardas78       Pavarde78       6	7	1	4	1	3	5	4	7	7	
Vardas79       Pavarde79       8	1	7	1	3	1	10	1	1	3	
Vardas80       Pavarde80       7	6	1	3	1	3	3	2	10	5	
Vardas81       Pavarde81       3	5	10	1	7	5	1	8	4	7	
Vardas82       Pavarde82       8	8	10	3	8	7	2	5	5	5	
Vardas83       Pavarde83       6	9	8	3	1	1	7	1	7	8	
Vardas84       Pavarde84       7	6	10	8	3	1	2	9	7	9	
Vardas85       Pavarde85       9	3	1	7	4	10	5	3	4	5	
Vardas86       Pavarde86       2	4	7	8	10	5	7	6	8	6	
Vardas87       Pavarde87       4	1	2	7	2	7	3	1	7	10	
Vardas88       Pavarde88       1	10	8	6	6	9	6	10	6	5	
Vardas89       Pavarde89       5	4	2	3	8	10	2	4	2	7	
Vardas90       Pavarde90       2	8	5	9	2	7	5	6	2	1	
Vardas91       Pavarde91       6	10	1	9	8	4	8	8	7	4	
Vardas92       Pavarde92       5	4	9	5	8	8	1	2	2	6	
Vardas93       Pavarde93       5	6	1	3	7	2	5	1	10	2	
Vardas94       Pavarde94       8	9	3	3	7	9	6	4	9	8	
Vardas95       Pavarde95       5	10	8	2	6	8	10	6	9	8	
Vardas96       Pavarde96       6	10	10	7	4	1	2	7	6	8	
Vardas97       Pavarde97       7	3	5	7	10	5	2	5	3	10	
Vardas98       Pavarde98       9	5	2	6	10	4	8	4	8	8	
Vardas99       Pavarde99       3	6	5	6	9	4	4	1	5	1	
Vardas100      Pavarde100      2	5	2	10	7	4	6	7	4	9	
Vardas101      Pavarde101      3	9	10	4	5	5	7	3	1	6	
Vardas102      Pavarde102      5	2	4	3	2	2	9	9	1	5	
Vardas103      Pavarde103      3	2	9	1	5	4	5	2	4	8	
Vardas104      Pavarde104      6	8	7	5	8	1	7	5	4	6	
Vardas105      Pavarde105      7	4	8	3	9	10	1	5	9	3	
Vardas106      Pavarde106      9	1	5	9	3	1	10	2	5	1	
Vardas107      Pavarde107      8	3	10	9	4	1	8	6	7	5	
Vardas108      Pavarde108      4	9	5	7	4	6	4	2	6	6	
Vardas109      Pavarde109      1	9	1	4	9	3	2	6	7	1	
Vardas110      Pavarde110      1	9	5	3	7	9	3	8	3	5	
Vardas111      Pavarde111      9	10	2	7	7	5	2	4	10	4	
Vardas112      Pavarde112      4	1	10	3	9	2	3	7	5	1	
Vardas113      Pavarde113      9	8	5	3	8	9	1	2	7	10	
Vardas114      Pavarde114      9	4	8	6	5	7	5	8	1	4	
Vardas115      Pavarde115      5	1	4	7	10	2	2	5	4	1	
Vardas116      Pavarde116      6	2	1	4	10	2	3	3	7	1	
Vardas117      Pavarde117      1	7	8	6	6	2	1	2	4	1	
